date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-02-03,167294,154599,146406,143869,142103,146212,159850,186396,203878,208964,212247,211042,208741,208535,201116,196203,194604,193945,198216,209028,208863,205704,193561,178856.0
2017-02-04,166433,154640,145071,140699,137275,137578,140080,148344,156602,169537,181587,185137,184049,184199,179487,171752,168522,167639,173590,184321,186605,185652,177382,166892.0
2017-02-05,154340,143005,135317,130130,128111,128279,130025,134768,136790,147668,161127,166159,167986,169765,167819,159809,154323,152597,160888,178751,186771,188436,182491,168634.0
2017-02-06,153475,143594,137311,134811,134287,138413,155199,183624,202652,209860,212381,211107,207782,206543,199546,196342,193882,192357,195656,209891,213562,209946,194870,176870.0
2017-02-07,163340,152997,145372,142587,141563,144857,160050,186759,202777,207224,207289,206695,204173,203667,197157,193739,192480,192939,196243,210518,213690,210112,194376,177862.0
2017-02-08,162827,152396,145232,142427,141532,145296,159530,187884,204866,210552,211516,209905,209031,207484,199992,196208,194256,193477,196358,212479,217483,213441,198656,180378.0
2017-02-09,166435,155189,147808,144823,144041,147017,161425,190378,207430,214580,217019,214261,210462,208779,201301,199424,198337,199081,202484,216767,220515,216250,201786,183170.0
2017-02-10,168487,157265,149627,147252,146046,149362,165376,192785,209720,215889,219338,219421,217956,218014,210571,205262,202473,200830,203523,213789,216059,212094,198629,183458.0
2017-02-11,171215,158804,149220,144192,141828,141881,143080,152344,161002,177390,192720,195843,194236,193953,190572,181915,176708,175722,180307,192165,195471,193609,185305,172643.0
2017-02-12,159879,147929,137325,131919,129865,128910,130975,135756,138259,151009,164720,172662,175212,176965,175579,166849,161239,159583,166349,181538,189523,190021,183751,170087.0
2017-02-13,154929,143252,137298,134263,134073,138365,154761,182812,201399,209678,214383,213188,210640,210376,203408,199194,197473,196771,198425,212942,217736,214108,197475,178407.0
2017-02-14,164886,153186,145803,142896,142900,146147,160266,187989,204599,211059,212453,209418,206460,205345,198497,194671,193945,193222,197230,213160,217780,212890,196838,178551.0
2017-02-15,163769,151681,144208,142021,140841,144846,158440,185079,200413,205643,207118,205071,202197,201634,194937,191244,188075,186029,190351,208552,213449,210087,193395,176154.0
2017-02-16,162573,151223,144230,141851,141049,145031,158992,185748,200222,205789,207524,205632,203065,202745,196335,192604,190273,189594,191850,208122,213771,211012,195661,178222.0
2017-02-17,165932,154976,146641,143937,143350,146692,160341,186006,200348,207038,207700,205885,202920,201289,193048,187510,184700,184215,185142,202061,206731,204094,191664,176870.0
2017-02-18,165896,154985,145529,140895,138497,138213,140846,148917,156604,172644,183567,183991,181407,181211,176975,169390,164436,163074,167727,183191,188620,188780,180119,167753.0
